"","x"
"318",8
"319",8
"320",10.3
"321",11.5
"322",14.9
"323",8
"324",4.1
"325",9.2
"326",9.2
"327",10.9
"328",4.6
"329",10.9
"330",5.1
"331",6.3
"332",5.7
"333",7.4
"334",8.6
"335",14.3
"336",14.9
"337",14.9
"338",14.3
"339",6.9
"340",10.3
"341",6.3
"342",5.1
"343",11.5
"344",6.9
"345",9.7
"346",11.5
"347",8.6
"348",8
"349",8.6
"350",12
"351",7.4
"352",7.4
"353",7.4
"354",9.2
"355",6.9
"356",13.8
"357",7.4
"358",6.9
"359",7.4
"360",4.6
"361",4
"362",10.3
"363",8
"364",8.6
"365",11.5
"366",11.5
"367",11.5
"368",9.7
"369",11.5
"370",10.3
"371",6.3
"372",7.4
"373",10.9
"374",10.3
"375",15.5
"376",14.3
"377",12.6
"378",9.7
"379",3.4
"380",8
"381",5.7
"382",9.7
"383",2.3
"384",6.3
"385",6.3
"386",6.9
"387",5.1
"388",2.8
"389",4.6
"390",7.4
"391",15.5
"392",10.9
"393",10.3
"394",10.9
"395",9.7
"396",14.9
"397",15.5
"398",6.3
"399",10.9
"400",11.5
"401",6.9
"402",13.8
"403",10.3
"404",10.3
"405",8
"406",12.6
"407",9.2
"408",10.3
"409",10.3
"410",16.6
"411",6.9
"412",13.2
"413",14.3
"414",8
"415",11.5
"416",67
"417",72
"418",74
"419",62
"420",56
"421",66
"422",65
"423",59
"424",61
"425",69
"426",74
"427",69
"428",66
"429",68
"430",58
"431",64
"432",66
"433",57
"434",68
"435",62
"436",59
"437",73
"438",61
"439",61
"440",57
"441",58
"442",57
"443",67
"444",81
"445",79
"446",76
"447",78
"448",74
"449",67
"450",84
"451",85
"452",79
"453",82
"454",87
"455",90
"456",87
"457",93
"458",92
"459",82
"460",80
"461",79
"462",77
"463",72
"464",65
"465",73
"466",76
"467",77
"468",76
"469",76
"470",76
"471",75
"472",78
"473",73
"474",80
"475",77
"476",83
"477",84
"478",85
"479",81
"480",84
"481",83
"482",83
"483",88
"484",92
"485",92
"486",89
"487",82
"488",73
"489",81
"490",91
"491",80
"492",81
"493",82
"494",84
"495",87
"496",85
"497",74
"498",81
"499",82
"500",86
"501",85
"502",82
"503",86
"504",88
"505",86
"506",83
"507",81
"508",81
"509",81
"510",82
"511",86
"512",85
"513",87
"514",89
"515",90
"516",90
"517",92
"518",86
"519",86
"520",82
"521",80
"522",79
"523",77
"524",79
"525",76
"526",78
"527",78
"528",77
"529",72
"530",75
"531",79
"532",81
"533",86
"534",88
"535",97
"536",94
"537",96
"538",94
"539",91
"540",92
"541",93
"542",93
"543",87
"544",84
"545",80
"546",78
"547",75
"548",73
"549",81
"550",76
"551",77
"552",71
"553",71
"554",78
"555",67
"556",76
"557",68
"558",82
"559",64
"560",71
"561",81
"562",69
"563",63
"564",70
"565",77
"566",75
"567",76
"568",68
"569",5
"570",5
"571",5
"572",5
"573",5
"574",5
"575",5
"576",5
"577",5
"578",5
"579",5
"580",5
"581",5
"582",5
"583",5
"584",5
"585",5
"586",5
"587",5
"588",5
"589",5
"590",5
"591",5
"592",5
"593",5
"594",5
"595",5
"596",5
"597",5
"598",5
"599",5
"600",6
"601",6
"602",6
"603",6
"604",6
"605",6
"606",6
"607",6
"608",6
"609",6
"610",6
"611",6
"612",6
"613",6
"614",6
"615",6
"616",6
"617",6
"618",6
"619",6
"620",6
"621",6
"622",6
"623",6
"624",6
"625",6
"626",6
"627",6
"628",6
"629",6
"630",7
"631",7
"632",7
"633",7
"634",7
"635",7
"636",7
"637",7
"638",7
"639",7
"640",7
"641",7
"642",7
"643",7
"644",7
"645",7
"646",7
"647",7
"648",7
"649",7
"650",7
"651",7
"652",7
"653",7
"654",7
"655",7
"656",7
"657",7
"658",7
"659",7
"660",7
"661",8
"662",8
"663",8
"664",8
"665",8
"666",8
"667",8
"668",8
"669",8
"670",8
"671",8
"672",8
"673",8
"674",8
"675",8
"676",8
"677",8
"678",8
"679",8
"680",8
"681",8
"682",8
"683",8
"684",8
"685",8
"686",8
"687",8
"688",8
"689",8
"690",8
"691",8
"692",9
"693",9
"694",9
"695",9
"696",9
"697",9
"698",9
"699",9
"700",9
"701",9
"702",9
"703",9
"704",9
"705",9
"706",9
"707",9
"708",9
"709",9
"710",9
"711",9
"712",9
"713",9
"714",9
"715",9
"716",9
"717",9
"718",9
"719",9
"720",9
"721",9
"722",1
"723",2
"724",3
"725",4
"726",5
"727",6
"728",7
"729",8
"730",9
"731",10
"732",11
"733",12
"734",13
"735",14
"736",15
"737",16
"738",17
"739",18
"740",19
"741",20
"742",21
"743",22
"744",23
"745",24
"746",25
"747",26
"748",27
"749",28
"750",29
"751",30
"752",31
"753",1
"754",2
"755",3
"756",4
"757",5
"758",6
"759",7
"760",8
"761",9
"762",10
"763",11
"764",12
"765",13
"766",14
"767",15
"768",16
"769",17
"770",18
"771",19
"772",20
"773",21
"774",22
"775",23
"776",24
"777",25
"778",26
"779",27
"780",28
"781",29
"782",30
"783",1
"784",2
"785",3
"786",4
"787",5
"788",6
"789",7
"790",8
"791",9
"792",10
"793",11
"794",12
"795",13
"796",14
"797",15
"798",16
"799",17
"800",18
"801",19
"802",20
"803",21
"804",22
"805",23
"806",24
"807",25
"808",26
"809",27
"810",28
"811",29
"812",30
"813",31
"814",1
"815",2
"816",3
"817",4
"818",5
"819",6
"820",7
"821",8
"822",9
"823",10
"824",11
"825",12
"826",13
"827",14
"828",15
"829",16
"830",17
"831",18
"832",19
"833",20
"834",21
"835",22
"836",23
"837",24
"838",25
"839",26
"840",27
"841",28
"842",29
"843",30
"844",31
"845",1
"846",2
"847",3
"848",4
"849",5
"850",6
"851",7
"852",8
"853",9
"854",10
"855",11
"856",12
"857",13
"858",14
"859",15
"860",16
"861",17
"862",18
"863",19
"864",20
"865",21
"866",22
"867",23
"868",24
"869",25
"870",26
"871",27
"872",28
"873",29
"874",30
